,name,link,employer,salary_min,salary_max,salary_currency
234,Младший компьютерный лингвист (Python),https://hh.ru/vacancy/42209146?query=Python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,120000.0,,руб.
235,Data Scientist / Quantitative Researcher,https://hh.ru/vacancy/39912622?query=Python,ООО Знаменка Капитал,250000.0,,руб.
236,Программист Python/JavaScript секретарь,https://hh.ru/vacancy/42411532?query=Python,ООО ИнфоТех,60000.0,,руб.
237,Data Engineer,https://hh.ru/vacancy/42326397?query=Python, Dostavista Global,230000.0,,руб.
238,Аналитик данных / Data Engineer,https://hh.ru/vacancy/43015639?query=Python,ООО Ресурс Групп,,,
239,"Team Lead (Python, Django)",https://hh.ru/vacancy/43012773?query=Python, РусПерсонал,250000.0,350000.0,руб.
240,Программист-разработчик Python,https://hh.ru/vacancy/43014438?query=Python, Мойте сами,,,
241,"FullStack Developer (Python Django, React)",https://hh.ru/vacancy/42959540?query=Python, Supernice,270000.0,,руб.
242,Junior Data Analyst,https://hh.ru/vacancy/42886507?query=Python, HASH CIB,,,
243,Python разработчик,https://hh.ru/vacancy/41095804?query=Python, ВАВТ МИНЭКОНОМРАЗВИТИЯ РОССИИ,100000.0,160000.0,руб.
244,Senior Python developer,https://hh.ru/vacancy/41263186?query=Python, Rutube,200000.0,,руб.
245,Ведущий специалист по Machine learning,https://hh.ru/vacancy/42202946?query=Python, Адалиск,250000.0,,руб.
246,Data Engineer (Python),https://hh.ru/vacancy/42432726?query=Python," Prisma Labs, inc.",,,
247,Разработчик (Python),https://hh.ru/vacancy/40551245?query=Python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000.0,160000.0,руб.
248,Python Программист разработчик,https://hh.ru/vacancy/42676588?query=Python,ООО РНД поинт,,,
249,Teamlead Backend (Python),https://hh.ru/vacancy/40840868?query=Python,ООО Фабрика Решений,120000.0,300000.0,руб.
250,Quantitative developer (HFT developer),https://hh.ru/vacancy/43005025?query=Python, Cindicator,,400000.0,руб.
251,DevOps Engineer,https://hh.ru/vacancy/42301915?query=Python, ZAVOD Games,170000.0,250000.0,руб.
252,Senior Backend-разработчик (Python),https://hh.ru/vacancy/41649102?query=Python, Hoodies,200000.0,320000.0,руб.
253,Python разработчик,https://hh.ru/vacancy/42855358?query=Python, Digital Hub,90000.0,110000.0,руб.
254,Python разработчик,https://hh.ru/vacancy/42766512?query=Python, Филиал компании Лист Ренталс Лимитед,1500.0,4000.0,USD
255,Python-разработчик,https://hh.ru/vacancy/43002250?query=Python, IVIDEON,170000.0,230000.0,руб.
256,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?query=Python,ООО Фабрика Решений,60000.0,150000.0,руб.
257,Python / C++ разработчик,https://hh.ru/vacancy/42783010?query=Python, Wunder Fund,150000.0,200000.0,руб.
258,Программист-математик/Алгоритмист (США),https://hh.ru/vacancy/42251823?query=Python,ООО Parascript,,7000.0,USD
259,Python/Django разработчик,https://hh.ru/vacancy/42799332?query=Python, idaproject,70000.0,,руб.
260,Аналитик данных со знанием Python,https://hh.ru/vacancy/43004074?query=Python,Разработчик решений по обработке данных,100000.0,150000.0,руб.
261,Программист Python,https://hh.ru/vacancy/42844642?query=Python,ООО Артистраж,60000.0,200000.0,руб.
262,Разработчик Python,https://hh.ru/vacancy/42564873?query=Python, GRAFFIT,,50000.0,руб.
263,Python Backend Developer,https://hh.ru/vacancy/42965532?query=Python, Кан Александр Сергеевич,40000.0,50000.0,руб.
264,Data Scientist (компьютерное зрение),https://hh.ru/vacancy/42813933?query=Python,ООО Дип Системс,70000.0,400000.0,руб.
265,Python разработчик,https://hh.ru/vacancy/42844788?query=Python, Университет искусственного интеллекта,70000.0,80000.0,руб.
266,Quantitative researcher,https://hh.ru/vacancy/42932744?query=Python, Wunder Fund,350000.0,,руб.
267,Backend-разработчик Python,https://hh.ru/vacancy/42588879?query=Python,ООО Мирамедикс,170000.0,230000.0,руб.
268,Python Backend разработчик,https://hh.ru/vacancy/42555938?query=Python,ООО Декаст Инжиниринг,150000.0,250000.0,руб.
269,Data Engineer,https://hh.ru/vacancy/41469811?query=Python,ООО Айти-Солюшнс,250000.0,,руб.
270,Middle разработчик Python / Django (удалённо),https://hh.ru/vacancy/42822407?query=Python,ООО Диджитал Пайн,60000.0,120000.0,руб.
271,Аналитик / Data Analyst (Product Analyst),https://hh.ru/vacancy/42814545?query=Python,ООО Далитикс,100000.0,,руб.
272,Python-разработчик,https://hh.ru/vacancy/42277259?query=Python, ivi,160000.0,200000.0,руб.
273,Разработчик Python,https://hh.ru/vacancy/41784502?query=Python,ООО Доверенная среда,180000.0,,руб.
274,Python QA Engineer Intern,https://hh.ru/vacancy/42674523?query=Python, ViCue Soft,,,
275,Бекенд Python-разработчик (Django),https://hh.ru/vacancy/42802585?query=Python,ООО Диджитал Линк,,,
276,Python developer,https://hh.ru/vacancy/30005963?query=Python, NetworkOptix,4000.0,,USD
277,Python-разработчик (Senior),https://hh.ru/vacancy/42602096?query=Python, Russian Quantum Center,150000.0,250000.0,руб.
278,Back-end разработчик Python,https://hh.ru/vacancy/42706234?query=Python, Insilico Medicine,160000.0,190000.0,руб.
279,Программист Python,https://hh.ru/vacancy/42226188?query=Python,ООО ФК ПУЛЬС,140000.0,180000.0,руб.
280,Ведущий аналитик данных/Data Analyst,https://hh.ru/vacancy/42957933?query=Python, Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,180000.0,220000.0,руб.
281,Data Scientist,https://hh.ru/vacancy/42713907?query=Python, COMPAREX,150000.0,250000.0,руб.
282,Backend python/Django разработчик,https://hh.ru/vacancy/42598849?query=Python,ООО БОЛЬШАЯ ТРОЙКА,120000.0,200000.0,руб.
283,Разработчик Python (middle Python developer),https://hh.ru/vacancy/42419682?query=Python,АО НПО АНГСТРЕМ,120000.0,150000.0,руб.
284,Младший компьютерный лингвист (Python),https://hh.ru/vacancy/42209146?query=Python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,120000.0,,руб.
285,Data Scientist / Quantitative Researcher,https://hh.ru/vacancy/39912622?query=Python,ООО Знаменка Капитал,250000.0,,руб.
286,Программист Python/JavaScript секретарь,https://hh.ru/vacancy/42411532?query=Python,ООО ИнфоТех,60000.0,,руб.
287,Data Engineer,https://hh.ru/vacancy/42326397?query=Python, Dostavista Global,230000.0,,руб.
288,Аналитик данных / Data Engineer,https://hh.ru/vacancy/43015639?query=Python,ООО Ресурс Групп,,,
289,"Team Lead (Python, Django)",https://hh.ru/vacancy/43012773?query=Python, РусПерсонал,250000.0,350000.0,руб.
290,Программист-разработчик Python,https://hh.ru/vacancy/43014438?query=Python, Мойте сами,,,
291,"FullStack Developer (Python Django, React)",https://hh.ru/vacancy/42959540?query=Python, Supernice,270000.0,,руб.
292,Junior Data Analyst,https://hh.ru/vacancy/42886507?query=Python, HASH CIB,,,
293,Python разработчик,https://hh.ru/vacancy/41095804?query=Python, ВАВТ МИНЭКОНОМРАЗВИТИЯ РОССИИ,100000.0,160000.0,руб.
294,Senior Python developer,https://hh.ru/vacancy/41263186?query=Python, Rutube,200000.0,,руб.
295,Ведущий специалист по Machine learning,https://hh.ru/vacancy/42202946?query=Python, Адалиск,250000.0,,руб.
296,Data Engineer (Python),https://hh.ru/vacancy/42432726?query=Python," Prisma Labs, inc.",,,
297,Разработчик (Python),https://hh.ru/vacancy/40551245?query=Python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000.0,160000.0,руб.
298,Python Программист разработчик,https://hh.ru/vacancy/42676588?query=Python,ООО РНД поинт,,,
299,Teamlead Backend (Python),https://hh.ru/vacancy/40840868?query=Python,ООО Фабрика Решений,120000.0,300000.0,руб.
300,Quantitative developer (HFT developer),https://hh.ru/vacancy/43005025?query=Python, Cindicator,,400000.0,руб.
301,DevOps Engineer,https://hh.ru/vacancy/42301915?query=Python, ZAVOD Games,170000.0,250000.0,руб.
302,Senior Backend-разработчик (Python),https://hh.ru/vacancy/41649102?query=Python, Hoodies,200000.0,320000.0,руб.
303,Python разработчик,https://hh.ru/vacancy/42855358?query=Python, Digital Hub,90000.0,110000.0,руб.
304,Python разработчик,https://hh.ru/vacancy/42766512?query=Python, Филиал компании Лист Ренталс Лимитед,1500.0,4000.0,USD
305,Python-разработчик,https://hh.ru/vacancy/43002250?query=Python, IVIDEON,170000.0,230000.0,руб.
306,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?query=Python,ООО Фабрика Решений,60000.0,150000.0,руб.
307,Python / C++ разработчик,https://hh.ru/vacancy/42783010?query=Python, Wunder Fund,150000.0,200000.0,руб.
308,Программист-математик/Алгоритмист (США),https://hh.ru/vacancy/42251823?query=Python,ООО Parascript,,7000.0,USD
309,Python/Django разработчик,https://hh.ru/vacancy/42799332?query=Python, idaproject,70000.0,,руб.
310,Аналитик данных со знанием Python,https://hh.ru/vacancy/43004074?query=Python,Разработчик решений по обработке данных,100000.0,150000.0,руб.
311,Программист Python,https://hh.ru/vacancy/42844642?query=Python,ООО Артистраж,60000.0,200000.0,руб.
312,Разработчик Python,https://hh.ru/vacancy/42564873?query=Python, GRAFFIT,,50000.0,руб.
313,Python Backend Developer,https://hh.ru/vacancy/42965532?query=Python, Кан Александр Сергеевич,40000.0,50000.0,руб.
314,Data Scientist (компьютерное зрение),https://hh.ru/vacancy/42813933?query=Python,ООО Дип Системс,70000.0,400000.0,руб.
315,Python разработчик,https://hh.ru/vacancy/42844788?query=Python, Университет искусственного интеллекта,70000.0,80000.0,руб.
316,Quantitative researcher,https://hh.ru/vacancy/42932744?query=Python, Wunder Fund,350000.0,,руб.
317,Backend-разработчик Python,https://hh.ru/vacancy/42588879?query=Python,ООО Мирамедикс,170000.0,230000.0,руб.
318,Python Backend разработчик,https://hh.ru/vacancy/42555938?query=Python,ООО Декаст Инжиниринг,150000.0,250000.0,руб.
319,Data Engineer,https://hh.ru/vacancy/41469811?query=Python,ООО Айти-Солюшнс,250000.0,,руб.
320,Middle разработчик Python / Django (удалённо),https://hh.ru/vacancy/42822407?query=Python,ООО Диджитал Пайн,60000.0,120000.0,руб.
